"UniProt_ID"	"GENE_ID"	"Gene_Name"	"Gene_products"
"B0G128"	"DDB_G0279539"	"DDB_G0279539"	"RNA-binding region RNP-1 domain-containing protein"
"B0G129"	"DDB_G0294635"	"DDB_G0294635"	"putative transmembrane protein, peptidase S8 and S53 domain-containing protein, serine peptidase"
"B0G130"	"DDB_G0279699"	"DDB_G0279699"	"HAM group protein, MYST family protein, MOZ/SAS-like domain-containing protein, putative histone acetyltransferase"
"B0G131"	"DDB_G0294609"	"polD3"	"DNA polymerase delta subunit 3"
"B0G132"	"DDB_G0295687"	"dph2"	"diphthamide biosynthesis protein 2"
"B0G133"	"DDB_G0279949"	"DDB_G0279949"	"AhpC/TSA family protein"
"B0G134"	"DDB_G0294619"	"DDB_G0294619"	"transmembrane protein"
"B0G136"	"DDB_G0281767"	"DDB_G0281767"	"ankyrin repeat-containing protein, regulator of chromosome condensation (RCC1) domain-containing protein, BTB/POZ domain-containing protein"
"B0G138"	"DDB_G0282029"	"pks21"	"putative polyketide synthase, beta-ketoacyl synthase family protein"
"B0G139"	"DDB_G0282285"	"DDB_G0282285"	"cyclin-like F-box containing protein, ApaG domain-containing protein"
"B0G140"	"DDB_G0295673"	"atg17"	"autophagy-related protein 17"
"B0G141"	"DDB_G0282979"	"efa1G"	"glutathione S-transferase domain-containing protein, elongation factor 1 gamma, elongation factor 1g"
"B0G142"	"DDB_G0294621"	"DDB_G0294621"	"Sel1-like repeat-containing protein"
"B0G143"	"DDB_G0283333"	"ucpB"	"mitochondrial substrate carrier family protein"
"B0G144"	"DDB_G0294593"	"DDB_G0294593"	"unknown"
"B0G145"	"DDB_G0283535"	"DDB_G0283535"	"WD-40 repeat-containing protein, DmX-like protein"
"B0G146"	"DDB_G0284323"	"ppil2"	"cyclophilin-type peptidylprolyl cis-trans isomerase (PPIase), Ubox domain-containing protein"
"B0G147"	"DDB_G0284369"	"DDB_G0284369"	"calcium-binding EF-hand domain-containing protein, DUF298 family protein"
"B0G148"	"DDB_G0294595"	"DDB_G0294595"	"SET domain-containing protein, MYND-type zinc finger-containing protein, tetratricopeptide-like helical domain-containing protein (TPR)"
"B0G150"	"DDB_G0284327"	"tmem184F"	"transmembrane protein 184F"
"B0G151"	"DDB_G0285245"	"DDB_G0285245"	"unknown"
"B0G152"	"DDB_G0285801"	"DDB_G0285801"	"putative transmembrane protein"
"B0G153"	"DDB_G0285807"	"DDB_G0285807"	"unknown"
"B0G154"	"DDB_G0295485"	"DDB_G0295485"	"EGF-like domain-containing protein"
"B0G155"	"DDB_G0285943"	"DDB_G0285943"	"seven transmembrane domain protein, lung seven transmembrane receptor family protein"
"B0G156"	"DDB_G0294631"	"DDB_G0294631"	"unknown"
"B0G157"	"DDB_G0286611"	"DDB_G0286611"	"RNA recognition motif-containing protein RRM, sulphate anion transporter family protein, sulfate transporter/antisigma-factor antagonist STAS domain-containing protein"
"B0G158"	"DDB_G0295671"	"DDB_G0295671"	"regulator of chromosome condensation (RCC1) domain-containing protein"
"B0G159"	"DDB_G0287009"	"mcfC"	"mitochondrial substrate carrier family protein C"
"B0G160"	"DDB_G0287229"	"chdh"	"choline dehydrogenase, glucose-methanol-choline oxidoreductase"
"B0G161"	"DDB_G0287447"	"DDB_G0287447"	"DNA polymerase III, epsilon subunit"
"B0G162"	"DDB_G0295689"	"DDB_G0295689"	"unknown"
"B0G163"	"DDB_G0287881"	"exoc5"	"exocyst complex subunit 5"
"B0G164"	"DDB_G0288859"	"jcdJ"	"C2H2-type zinc finger-containing protein, transcription factor jumonji, jmjC domain-containing protein"
"B0G165"	"DDB_G0295675"	"DDB_G0295675"	"putative transmembrane protein, leucine-rich repeat-containing protein (LRR), agglutinin domain-containing protein"
"B0G167"	"DDB_G0294611"	"DDB_G0294611"	"unknown"
"B0G168"	"DDB_G0289521"	"srsA"	"starvation responsive small protein"
"B0G170"	"DDB_G0290469"	"pks28"	"putative polyketide synthase, beta-ketoacyl synthase family protein"
"B0G171"	"DDB_G0295479"	"DDB_G0295479"	"beta-ketoacyl synthase family protein"
"B0G172"	"DDB_G0290671"	"rabggtb"	"protein geranylgeranyltransferase type II, Rab geranylgeranyltransferase beta subunit"
"B0G176"	"DDB_G0295665"	"DDB_G0295665"	"unknown"
"B0G177"	"DDB_G0290761"	"sid1"	"transmembrane protein, systemic RNA interference defective protein 1"
"B0G178"	"DDB_G0295693"	"DDB_G0295693"	"unknown"
"B0G179"	"DDB_G0294603"	"DDB_G0294603"	"C2 domain-containing protein"
"B0G180"	"DDB_G0290851"	"spc3"	"signal peptidase complex subunit 3"
"B0G181"	"DDB_G0291396"	"DDB_G0291396"	"dilute domain-containing protein"
"B0G182"	"DDB_G0291490"	"pigT"	"GPI transamidase component PIG-T"
"B0G183"	"DDB_G0295475"	"DDB_G0295475"	"unknown"
"B0G185"	"DDB_G0295711"	"ap1s2"	"sigma adaptin"
"B0G186"	"DDB_G0295709"	"ufm1"	"ubiquitin-like Ufm1 family protein"
"B0G187"	"DDB_G0295705"	"DDB_G0295705"	"unknown"
"B0G188"	"DDB_G0295707"	"gtaP"	"putative GATA-binding transcription factor, GATA zinc finger domain-containing protein 16"
"B0G189"	"DDB_G0291708"	"guf1"	"GTP-binding protein, LepA family protein"
"B0G190"	"DDB_G0295483"	"DDB_G0295483"	"RUN domain-containing protein"
"B0G191"	"DDB_G0291800"	"DDB_G0291800"	"glutathione-dependent formaldehyde-activating, GFA family protein"
"B0G192"	"DDB_G0295669"	"DDB_G0295669"	"isochorismatase hydrolase"
"B0G194"	"DDB_G0292524"	"DDB_G0292524"	"putative dymeclin"
"B0G195"	"DDB_G0292526"	"DDB_G0292526"	"unknown"
"B0G196"	"DDB_G0294629"	"DDB_G0294629"	"SET domain-containing protein, tetratricopeptide-like helical domain-containing protein (TPR)"
"B0G197"	"DDB_G0294627"	"DDB_G0294627"	"MaoC-like dehydratase domain-containing protein"
"B0G198"	"DDB_G0295683"	"DDB_G0295683"	"LIM-type zinc finger-containing protein, cofilin/tropomyosin type actin binding domain-containing protein"
"B0M0P5"	"DDB_G0286013"	"repE"	"UV-damaged DNA binding protein1"
"B0M0P8"	"DDB_G0276371"	"gefL"	"Ras guanine nucleotide exchange factor"
"B0M0Q0"	"DDB_G0276035"	"DDB_G0276035"	"EGF-like domain-containing protein"
"B0M0Q3"	"DDB_G0272232"	"DDB_G0272232"	"putative transmembrane protein"
"C0HLF1"	"DDB_G0350235"	"tstD"	"sigma-like TSET complex subunit"
"C7FZV9"	"DDB_G0268500"	"DDB_G0268500"	"unknown"
"C7FZW2"	"DDB_G0295847"	"DDB_G0295847"	"EGF-like domain-containing protein"
"C7FZW3"	"DDB_G0302588"	"DDB_G0302588"	"RanBP2-type zinc finger"
"C7FZW4"	"DDB_G0295829"	"DDB_G0295829"	"leucine-rich repeat-containing protein (LRR), EGF-like domain-containing protein"
"C7FZW5"	"DDB_G0270312"	"DDB_G0270312"	"GNS1/SUR4 family protein, very long chain fatty acid elongase"
"C7FZW6"	"DDB_G0270600"	"DDB_G0270600"	"unknown"
"C7FZW8"	"DDB_G0270962"	"DDB_G0270962"	"IPT/TIG domain-containing protein"
"C7FZX1"	"DDB_G0270718"	"DDB_G0270718"	"EGF-like domain-containing protein"
"C7FZX2"	"DDB_G0295757"	"DDB_G0295757"	"IPT/TIG domain-containing protein"
"C7FZX3"	"DDB_G0295761"	"nle1"	"WD40 repeat-containing protein, NLE domain-containing protein, putative notchless"
"C7FZX4"	"DDB_G0295751"	"DDB_G0295751"	"unknown"
"C7FZX5"	"DDB_G0295763"	"DDB_G0295763"	""
"C7FZX8"	"DDB_G0295817"	"DDB_G0295817"	"unknown"
"C7FZX9"	"DDB_G0295819"	"DDB_G0295819"	"putative membrane-anchored extracellular protein"
"C7FZY0"	"DDB_G0295809"	"DDB_G0295809"	"UCP029143 family protein"
"C7FZY1"	"DDB_G0295807"	"DDB_G0295807"	"short-chain dehydrogenase/reductase (SDR) family protein, glucose/ribitol dehydrogenase family protein"
"C7FZY2"	"DDB_G0295845"	"DDB_G0295845"	"ribonuclease T2"
"C7FZY3"	"DDB_G0295821"	"DDB_G0295821"	"putative transmembrane protein"
"C7FZZ0"	"DDB_G0274805"	"ibrA"	"inverse Bin/Amphiphysin/Rvs protein IBARa"
"C7FZZ3"	"DDB_G0295827"	"DDB_G0295827"	"leucine-rich repeat-containing protein (LRR)"
"C7FZZ4"	"DDB_G0302543"	"DDB_G0302543"	"cyclin domain-containing protein"
"C7FZZ5"	"DDB_G0275301"	"DDB_G0275301"	"unknown"
"C7FZZ6"	"DDB_G0295775"	"DDB_G0295775"	"armadillo-like helical domain-containing protein"
"C7FZZ8"	"DDB_G0276503"	"DDB_G0276503"	"phosphatidylserine decarboxylase"
"C7FZZ9"	"DDB_G0295773"	"DDB_G0295773"	"DUF1077 family protein"
"C7G000"	"DDB_G0277083"	"uduD1"	"N-terminal delta endotoxin domain-containing protein"
"C7G001"	"DDB_G0277235"	"DDB_G0277235"	"leucine-rich repeat-containing protein (LRR)"
"C7G003"	"DDB_G0295839"	"DDB_G0295839"	"unknown"
"C7G004"	"DDB_G0304475"	"DDB_G0304475"	"heat shock protein DnaJ family protein"
"C7G005"	"DDB_G0295721"	"naa50"	"N(alpha)-acetyltransferase 50, NatE catalytic subunit"
"C7G006"	"DDB_G0295723"	"DDB_G0295723"	"IPT/TIG domain-containing protein"
"C7G007"	"DDB_G0295725"	"DDB_G0295725"	"unknown"
"C7G008"	"DDB_G0295727"	"DDB_G0295727"	"unknown"
"C7G009"	"DDB_G0295811"	"DDB_G0295811"	"thioredoxin fold domain-containing protein"
"C7G011"	"DDB_G0279353"	"DDB_G0279353"	"putative metallophosphoesterase"
"C7G013"	"DDB_G0295731"	"DDB_G0295731"	"ankyrin repeat-containing protein"
"C7G014"	"DDB_G0279863"	"DDB_G0279863"	"unknown"
"C7G015"	"DDB_G0302676"	"DDB_G0302676"	"unknown"
"C7G018"	"DDB_G0302418"	"imp4"	"U3 small nucleolar ribonucleoprotein protein"
"C7G020"	"DDB_G0282095"	"DDB_G0282095"	"beta-lactamase family protein"
"C7G021"	"DDB_G0295769"	"DDB_G0295769"	"unknown"
"C7G022"	"DDB_G0295767"	"DDB_G0295767"	"unknown"
"C7G023"	"DDB_G0295715"	"DDB_G0295715"	"NOL1/NOP2/Sun family protein"
"C7G025"	"DDB_G0295849"	"DDB_G0295849"	"rhomboid family protein"
"C7G026"	"DDB_G0282903"	"DDB_G0282903"	"unknown"
"C7G027"	"DDB_G0295771"	"DDB_G0295771"	"unknown"
"C7G028"	"DDB_G0284307"	"DDB_G0284307"	"Mo25-like family protein"
"C7G030"	"DDB_G0284611"	"ripA"	"TOR complex 2 protein RipA"
"C7G031"	"DDB_G0295719"	"DDB_G0295719"	"unknown"
"C7G032"	"DDB_G0295717"	"DDB_G0295717"	"RabGAP/TBC domain-containing protein, calcium-binding EF-hand domain-containing protein"
"C7G034"	"DDB_G0285063"	"DDB_G0285063"	"putative E3 ubiquitin-protein ligase"
"C7G035"	"DDB_G0304561"	"DDB_G0304561"	"transmembrane protein"
"C7G036"	"DDB_G0285243"	"DDB_G0285243"	"putative splicing endonuclease"
"C7G038"	"DDB_G0285797"	"DDB_G0285797"	"unknown"
"C7G039"	"DDB_G0295789"	"DDB_G0295789"	"putative transmembrane protein"
"C7G041"	"DDB_G0295733"	"DDB_G0295733"	"thioesterase superfamily protein"
"C7G042"	"DDB_G0295785"	"DDB_G0295785"	"cyclin-related 2 family protein"
"C7G044"	"DDB_G0295781"	"DDB_G0295781"	"putative glutamine amidotransferase"
"C7G045"	"DDB_G0295787"	"hbx11"	"homeobox transcription factor Hbx11"
"C7G046"	"DDB_G0286969"	"DDB_G0286969"	"type A von Willebrand factor (VWFA) domain-containing protein, MIF4G-like, type 3 domain-containing protein, putative eukaryotic translation initiation factor 4 gamma (eIF4G)"
"C7G047"	"DDB_G0304886"	"DDB_G0304886"	"LIM-type zinc finger-containing protein"
"C7G049"	"DDB_G0295777"	"DDB_G0295777"	"UbiA prenyltransferase family protein"
"C7G050"	"DDB_G0287745"	"DDB_G0287745"	"DUF733 family protein"
"C7G051"	"DDB_G0302511"	"rpl39"	"60S ribosomal protein L39"
"C7G054"	"DDB_G0302414"	"snrpE"	"small nuclear ribonucleoprotein E"
"C7G055"	"DDB_G0295779"	"DDB_G0295779"	"EGF-like domain-containing protein"
"C7G056"	"DDB_G0288759"	"tmem14A"	"transmembrane protein 14 A"
"C7G057"	"DDB_G0295735"	"DDB_G0295735"	"transmembrane protein"
"C7G059"	"DDB_G0295747"	"DDB_G0295747"	"unknown"
"C7G060"	"DDB_G0295745"	"DDB_G0295745"	"unknown"
"C7G061"	"DDB_G0295743"	"DDB_G0295743"	"peptidase M3A and M3B domain-containing protein"
"C7G062"	"DDB_G0295753"	"DDB_G0295753"	"mitochondrial substrate carrier family protein, putative mitochondrial phosphate carrier protein"
"C7G064"	"DDB_G0289303"	"DDB_G0289303"	"SET domain-containing protein"
"C7G065"	"DDB_G0295813"	"DDB_G0295813"	"unknown"
"C7G067"	"DDB_G0289351"	"DDB_G0289351"	"EGF-like domain-containing protein"
"C7G068"	"DDB_G0289595"	"prpf31"	"pre-mRNA processing factor 31"
"C7G069"	"DDB_G0304961"	"tmem184E"	"transmembrane protein 184E"
"C7G070"	"DDB_G0295737"	"DDB_G0295737"	"PAP/25A-associated domain-containing protein, nucleotidyltransferase domain-containing protein"
"C7G071"	"DDB_G0295739"	"DDB_G0295739"	"unknown"
"C7G073"	"DDB_G0295741"	"DDB_G0295741"	"putative acyl-CoA N-acyltransferase"
"C7G074"	"DDB_G0292528"	"DDB_G0292528"	"pirin family protein"
"C7G075"	"DDB_G0295841"	"DDB_G0295841"	"FNIP repeat-containing protein"
"C7G076"	"DDB_G0295797"	"DDB_G0295797"	"EGF-like domain-containing protein"
"C7G077"	"DDB_G0295799"	"DDB_G0295799"	"unknown"
"C7G078"	"DDB_G0295801"	"DDB_G0295801"	"B_lectin domain-containing protein"
"C7G079"	"DDB_G0295791"	"DDB_G0295791"	"unknown"
"C7G080"	"DDB_G0295803"	"hsp19"	"heat shock protein 19"
"C7G081"	"DDB_G0292724"	"taf2"	"transcription initiation factor TFIID subunit, TFIID subunit"
"C7G082"	"DDB_G0304683"	"DDB_G0304683"	"unknown"
"C7G083"	"DDB_G0295843"	"DDB_G0295843"	"putative eukaryotic translation initiation factor 2-alpha kinase"
"C7G084"	"DDB_G0295793"	"DDB_G0295793"	"WD40 repeat-containing protein"
"O00780"	"DDB_G0275701"	"vatE"	"vacuolar ATPase subunit E"
"O00835"	"DDB_G0278729"	"repB"	"transcription factor IIH subunit"
"O00841"	"DDB_G0284465"	"cudA"	"transcriptional regulator CudA"
"O00897"	"DDB_G0269104"	"calB"	"calmodulin-like protein"
"O00899"	"DDB_G0269140"	"gapA"	"RasGTPase-activating protein GapA"
"O00909"	"DDB_G0289173"	"arfA"	"ADP-ribosylation factor A"
"O00910"	"DDB_G0281381"	"dstA"	"signal transducer and activator of transcription (STAT) family protein DstA"
"O15692"	"DDB_G0285251"	"rsc43"	"Protein DRE2"
"O15706"	"DDB_G0289485"	"vacA"	"vacuolin A, prohibitin domain-containing protein"
"O15733"	"DDB_G0269126"	"DDB_G0269126"	"unknown"
"O15736"	"DDB_G0275323"	"tipD"	"autophagy protein 16"
"O15743"	"DDB_G0276155"	"spnA"	"protein serine/threonine phosphatase"
"O15744"	"DDB_G0282357"	"pksB"	"short-chain dehydrogenase/reductase (SDR) family protein, 3-oxoacyl-[acyl-carrier protein] reductase"
"O15746"	"DDB_G0276159"	"rtc1"	"RNA 3'-terminal phosphate cyclase"
"O15755"	"DDB_G0269164"	"egeB"	"C2 domain-containing protein"
"O15757"	"DDB_G0275619"	"pppB"	"protein phosphatase 1, catalytic subunit, protein serine/threonine phosphatase, type 1"
"O15816"	"DDB_G0275445"	"mybB"	"putative myb transcription factor, myb domain-containing protein"
"O15818"	"DDB_G0292806"	"cluA"	"CluA protein"
"O15819"	"DDB_G0267402"	"H3a"	"histone H3"
"O15916"	"DDB_G0279795"	"adamts"	"thrombospondin type I repeat-containing protein, catalytic peptidase aspartic domain-containing protein, a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif"
"O21032"	"DDB_G0294042"	"mrpl16"	"ribosomal protein L16, mitochondrial, ribosomal protein L16"
"O21033"	"DDB_G0294066"	"mrpl14"	"ribosomal protein L14, mitochondrial"
"O21034"	"DDB_G0294064"	"DidioMp30"	"unknown"
"O21035"	"DDB_G0294062"	"mrps14"	"ribosomal protein S14, ribosomal protein S14, mitochondrial"
"O21036"	"DDB_G0294060"	"mrps8"	"ribosomal protein S8, ribosomal protein S8, mitochondrial"
"O21037"	"DDB_G0294038"	"mrpl6"	"ribosomal protein L6, mitochondrial"
"O21038"	"DDB_G0294058"	"mrps13"	"ribosomal protein S13, ribosomal protein S13, mitochondrial"
"O21042"	"DDB_G0294088"	"cox1/2"	"cytochrome-c oxidase subunit I and subunit II, cytochrome oxidase subunit 1, cytochrome oxidase subunit 2"
"O21047"	"DDB_G0294048"	"nad4"	"NADH dehydrogenase subunit 4"
"O21048"	"DDB_G0294020"	"nad2"	"NADH dehydrogenase subunit 2"
"O21049"	"DDB_G0294092"	"cox3"	"cytochrome oxidase subunit 3"
"O21050"	"DDB_G0294090"	"DidioMp05"	""
"O44007"	"DDB_G0292264"	"nosA"	"U box domain-containing protein, E3 ubiquitin-protein ligase"
"O60950"	"DDB_G0287271"	"gol"	"golvesin"
"O60952"	"DDB_G0279415"	"limE"	"LIM-type zinc finger-containing protein"
"O60999"	"DDB_G0291972"	"culA"	"cullin A"
"O61122"	"DDB_G0286359"	"svkA"	"severin kinase"
"O61125"	"DDB_G0284181"	"krsA"	"STE20 family protein kinase KrsA"
"O76173"	"DDB_G0269174"	"rab1C"	"Rab GTPase"
"O76187"	"DDB_G0288771"	"darA"	"darlin"
"O76329"	"DDB_G0287291"	"abpD"	"actin binding protein D"
"O76542"	"DDB_G0284009"	"ubcC"	"ubiquitin-conjugating enzyme E2"
"O76734"	"DDB_G0282189"	"tupA"	"transcriptional repressor TUP1"
"O76740"	"DDB_G0281549"	"coxA"	"cytochrome c oxidase assembly protein"
"O76765"	"DDB_G0285845"	"phdA"	"PH domain-containing protein"
"O76856"	"DDB_G0279411"	"ctsD"	"cathepsin D"
"O77033"	"DDB_G0269194"	"trfA"	"putative transcriptional regulator TrfA"
"O77082"	"DDB_G0286117"	"rps10"	"40S ribosomal protein S10"
"O77203"	"DDB_G0277399"	"piaA"	"cytosolic regulator of adenylyl cyclase PiaA"
"O77229"	"DDB_G0274595"	"catA"	"catalase A"
"O77257"	"DDB_G0278725"	"p17"	"Sct family protein A"
"O96042"	"DDB_G0291253"	"dia2"	"unknown"
"O96070"	"DDB_G0290261"	"cfrC"	"cell surface glycoprotein GP138 C"
"O96099"	"DDB_G0282147"	"fadB"	"delta 5 fatty acid desaturase"
"O96390"	"DDB_G0269176"	"racF1"	"Rho GTPase RacF1"
"O96552"	"DDB_G0267394"	"vps46"	"SNF7 family protein"
"O96612"	"DDB_G0275021"	"ubpB"	"ubiquitin hydrolase B, deubiquinating enzyme, peptidase C19 family protein, putative ubiquitin carboxyl-terminal hydrolase (UCH)"
"O96621"	"DDB_G0272106"	"arpB"	"actin-related protein 2"
"O96622"	"DDB_G0277825"	"arcA"	"actin-related protein 2/3 complex, subunit 1"
"O96623"	"DDB_G0282813"	"arcB"	"actin-related protein 2/3 complex, subunit 2"
"O96624"	"DDB_G0292804"	"arcC"	"actin-related protein 2/3 complex, subunit 3"
"O96625"	"DDB_G0269102"	"arcD"	"actin-related protein 2/3 complex, subunit 4"
"O96626"	"DDB_G0288319"	"arcE"	"actin-related protein 2/3 complex, subunit 5"
"O96668"	"DDB_G0289389"	"dtfA"	"cell surface protein DTFA"
"O96759"	"DDB_G0286183"	"agps"	"alkyl-dihydroxyacetonephosphate synthase, alkyldihydroxyacetonephosphate synthase"
"O96904"	"DDB_G0269130"	"phgA"	"putative GTPase activating protein (GAP) PhgA"
"O96923"	"DDB_G0291125"	"gnrA"	"gelsolin-related protein"
"O97101"	"DDB_G0279409"	"cbfA"	"C-module-binding factor"
"O97113"	"DDB_G0275439"	"cad2"	"putative adhesion molecule"
"O97470"	"DDB_G0267454"	"ancA"	"ADP/ATP translocase, transmembrane protein, mitochondrial substrate carrier family protein"
"P02599"	"DDB_G0279407"	"calA"	"calmodulin"
"P02886"	"DDB_G0273063"	"dscA-1"	"discoidin I, alpha chain"
"P02887"	"DDB_G0273065"	"dscC-1"	"discoidin I, beta/gamma chain"
"P02888"	"DDB_G0273067"	"dscD-1"	"discoidin I, delta chain"
"P02889"	"DDB_G0273979"	"psmD8-2"	"26S proteasome regulatory subunit S14, 26S proteasome non-ATPase regulatory subunit 8"
"P03967"	"DDB_G0292996"	"rasD"	"Ras GTPase RasD"
"P04988"	"DDB_G0290957"	"cprA"	"cysteine proteinase 1"
"P04989"	"DDB_G0279799"	"cprB"	"cysteine proteinase 2"
"P05095"	"DDB_G0268632"	"abpA"	"actin binding protein A"
"P05817"	"DDB_G0275695"	"ampA"	"adhesion modulation protein A"
"P05987"	"DDB_G0279413"	"pkaR"	"cAMP-dependent protein kinase A, regulatory subunit"
"P07670"	"DDB_G0276331"	"pyr4"	"dihydroorotate oxidase, dihydroorotate dehydrogenase"
"P07828"	"DDB_G0289489"	"act18"	"actin"
"P07829"	"DDB_G0289487"	"act3"	"actin"
"P07830"	"DDB_G0274599"	"act13"	"actin"
"P08796"	"DDB_G0289073"	"csaA"	"contact site A protein"
"P08797"	"DDB_G0294473"	"staA"	"cellulose-binding domain-containing protein"
"P08798"	"DDB_G0276869"	"psvA"	"prespore vesicle protein"
"P08799"	"DDB_G0286355"	"mhcA"	"myosin II heavy chain"
"P08800"	"DDB_G0289875"	"uppA"	"UDP-glucose pyrophosphorylase 1"
"P09402"	"DDB_G0277859"	"mlcE"	"essential myosin light chain (ELC)"
"P09556"	"DDB_G0280041"	"pyr56"	"bifunctional UMP-synthetase, uridine 5'-monophosphate synthase, orotate phosphoribosyltransferase (OPRtase), orotidine 5'-phosphate decarboxylase (OMPdecase), UMP synthase"
"P0C7B6"	"DDB_G0295755"	"glnA2"	"putative glutamine synthetase type I GlnA2"
"P0C7G9"	"DDB_G0295713"	"DDB_G0295713"	"regulator of chromosome condensation (RCC1) domain-containing protein"
"P0C7T1"	"DDB_G0295823"	"DDB_G0295823"	"unknown"
"P0C7W4"	"DDB_G0295825"	"mrpl34"	"ribosomal protein L34, mitochondrial"
"P0C7W5"	"DDB_G0281707"	"DDB_G0281707"	"putative transmembrane protein"
"P0C8Z5"	"DDB_G0304543"	"psmG4"	"proteasome assembly chaperone 4"
"P0C8Z6"	"DDB_G0288135"	"DDB_G0288135"	"neugrin domain-containing protein"
"P0CB66"	"DDB_G0291297"	"med14"	"putative mediator complex subunit 14"
"P0CC06"	"DDB_G0284701"	"DDB_G0284701"	"mandelate racemase/muconate lactonizing enzyme domain-containing protein"
"P0CD60"	"DDB_G0289313"	"frmC"	"FERM domain-containing protein FrmC"
"P0CD61"	"DDB_G0290751"	"alg7"	"UDP-N-acetylglucosamine-dolichyl-phosphate N-acetylglucosaminephosphotransferase, GlcNAc phosphotransferase"
"P0CD65"	"DDB_G0279129"	"pan3"	"polyA specific ribonuclease subunit"
"P0CE94"	"DDB_G0290481"	"talA"	"talin A"
"P0CG76"	"DDB_G0282295"	"ubqA"	"ubiquitin A"
"P0CG77"	"DDB_G0286907"	"ubqD"	"ubiquitin D"
"P0CG78"	"DDB_G0289449"	"ubqF"	"ubiquitin F"
"P0CG79"	"DDB_G0282369"	"ubqG"	"ubiquitin G"
"P0CG80"	"DDB_G0291928"	"ubqI"	"ubiquitin I"
