"UniProt_ID"	"GENE_ID"	"Gene_Name"	"Gene_products"	"padj"
"Q54QI7"	"DDB_G0283813"	"hmgL"	"hydroxymethylglutaryl-CoA lyase"	7.6e-06
"Q54R96"	"DDB_G0283335"	"tgrI1"	"IPT/TIG domain-containing protein, immunoglobulin E-set domain-containing protein"	7.6e-06
"Q5TJ65"	"DDB_G0289541"	"vasP"	"vasodilator-stimulated phosphoprotein"	7.6e-06
"Q54WE4"	"DDB_G0279705"	"aplE"	"amoebapore-like protein E"	8.1e-06
"Q553X3"	"DDB_G0275185"	"gacI"	"RhoGAP domain-containing protein"	9e-06
"Q75JW4"	"DDB_G0272180"	"DDB_G0272180"	""	9.9e-06
"Q54JK8"	"DDB_G0287985"	"DDB_G0287985"	""	1e-05
"Q55CE3"	"DDB_G0270098"	"sqstm1"	"sequestosome-1"	1e-05
"Q54K61"	"DDB_G0287581"	"DDB_G0287581"	"unknown"	1.1e-05
"Q55DY0"	"DDB_G0269482"	"DDB_G0269482"	"unknown"	1.2e-05
"Q55GR3"	"DDB_G0268278"	"DDB_G0268278"	""	1.2e-05
"Q54DX0"	"DDB_G0291938"	"DDB_G0291938"	""	1.4e-05
"Q54CR6"	"DDB_G0292754"	"DDB_G0292754"	""	1.5e-05
"Q54TS5"	"DDB_G0281547"	"amyA"	"putative alpha-amylase"	1.5e-05
"P22549"	"DDB_G0277863"	"pdiA"	"cAMP phosphodiesterase inhibitor"	1.9e-05
"Q54HP1"	"DDB_G0289319"	"mybQ"	"myb domain-containing protein"	1.9e-05
"Q55FV8"	"DDB_G0267928"	"tmem144B"	"transmembrane protein 144 B"	1.9e-05
"C7G007"	"DDB_G0295725"	"DDB_G0295725"	"unknown"	2e-05
"Q54DU5"	"DDB_G0292028"	"DDB_G0292028"	"von Willebrand factor A domain-containing protein 5B1"	2e-05
"Q54I82"	"DDB_G0288933"	"cda"	"cytidine deaminase"	2e-05
"O96042"	"DDB_G0291253"	"dia2"	"unknown"	2.1e-05
"Q54D94"	"DDB_G0292424"	"DDB_G0292424"	""	2.1e-05
"Q54MD5"	"DDB_G0286025"	"DDB_G0286025"	"glycoside hydrolase family 5 protein"	2.1e-05
"Q54RZ4"	"DDB_G0282815"	"DDB_G0282815"	"unknown"	2.1e-05
"Q54JP5"	"DDB_G0287913"	"oatA"	"ornithine-oxo-acid transaminase, ornithine 5-aminotransferase"	2.2e-05
"Q54JJ7"	"DDB_G0288007"	"DDB_G0288007"	"Proteasome-associated protein ECM29 homolog"	2.3e-05
"Q55BH8"	"DDB_G0271340"	"DDB_G0271340"	"acyl-CoA oxidase"	2.3e-05
"Q54C80"	"DDB_G0293182"	"expl8"	"expansin-like protein"	2.9e-05
"Q54ZD2"	"DDB_G0277627"	"tgrR2"	"immunoglobulin E-set domain-containing protein"	2.9e-05
"P05987"	"DDB_G0279413"	"pkaR"	"cAMP-dependent protein kinase A, regulatory subunit"	3e-05
"Q555E4"	"DDB_G0274661"	"DDB_G0274661"	"unknown"	3.1e-05
"Q54FY5"	"DDB_G0290531"	"DDB_G0290531"	""	3.3e-05
"Q54UX3"	"DDB_G0280763"	"hemA"	"5-aminolevulinate synthase, ALA synthase"	3.4e-05
"Q54Y64"	"DDB_G0278393"	"DDB_G0278393"	"immunoglobulin E-set domain-containing protein"	3.4e-05
"Q54YR8"	"DDB_G0278115"	"netD"	"nuclear envelope transmembrane protein 4"	3.5e-05
"Q869W9"	"DDB_G0275069"	"pks16"	"putative fatty acid synthase"	3.5e-05
"Q55EK5"	"DDB_G0268850"	"DDB_G0268850"	"putative ATP binding protein"	3.6e-05
"P34109"	"DDB_G0275447"	"myoD"	"myosin ID heavy chain"	3.8e-05
"P54643"	"DDB_G0277379"	"pspD"	"spore coat protein SP87"	3.8e-05
"Q86AA1"	"DDB_G0274291"	"lyT2-4"	"putative T4-like lysozyme 2"	3.8e-05
"Q54XR4"	"DDB_G0278793"	"rmd1"	"regulator of microtubule dynamics protein 1"	4.1e-05
"Q54BL7"	"DDB_G0293708"	"DDB_G0293708"	"LIM-type zinc finger-containing protein"	4.2e-05
"Q54HN9"	"DDB_G0289333"	"DDB_G0289333"	""	4.2e-05
"Q54JR7"	"DDB_G0287833"	"DDB_G0287833"	""	4.2e-05
"Q7KWW3"	"DDB_G0276789"	"DDB_G0276789"	""	4.2e-05
"Q54DN6"	"DDB_G0292112"	"galK"	"galactokinase"	4.3e-05
"Q54QR1"	"DDB_G0283599"	"limA"	"LIM-type zinc finger-containing protein"	4.4e-05
"Q55DZ2"	"DDB_G0269462"	"DDB_G0269462"	"ubiquitin domain-containing protein"	4.4e-05
"Q55F35"	"DDB_G0268650"	"DDB_G0268650"	""	4.6e-05
"Q54NZ7"	"DDB_G0285053"	"alrB"	"aldo-keto reductase"	5e-05
"Q54KM6"	"DDB_G0287269"	"ccbl"	"kynurenine-oxoglutarate transaminase, kynurenine aminotransferase, cysteine-S-conjugate beta-lyase"	5.6e-05
"Q54FB1"	"DDB_G0290959"	"chtC"	"cheater C"	5.7e-05
"Q54BA1"	"DDB_G0293802"	"DDB_G0293802"	"transmembrane protein"	6.3e-05
"Q54CD7"	"DDB_G0293034"	"DDB_G0293034"	""	6.3e-05
"Q54NC1"	"DDB_G0285399"	"cyb5r1"	"NADH-cytochrome b5 reductase"	6.6e-05
"P34137"	"DDB_G0273817"	"ptpA1-2"	"protein-tyrosine phosphatase 1"	6.7e-05
"Q54R55"	"DDB_G0283401"	"ctsZ"	"cathepsin Z precursor, peptidase C1A family protein, papain family cysteine protease"	7.3e-05
"Q54C10"	"DDB_G0293274"	"DDB_G0293274"	"B-box zinc finger-containing protein/FNIP repeat-containing protein"	7.6e-05
"Q55DR6"	"DDB_G0269242"	"fcsA"	"fatty acyl-CoA synthetase, long-chain-fatty-acid-CoA ligase"	7.6e-05
"Q54BI8"	"DDB_G0293724"	"DDB_G0293724"	"unknown"	7.7e-05
"Q54TU2"	"DDB_G0281499"	"vinB"	"vinculin-related protein"	7.7e-05
"Q556N5"	"DDB_G0274093"	"adrm1-2"	"adhesion regulating molecule family protein"	7.8e-05
"Q65YR7"	"DDB_G0280439"	"cpiB"	"cystatin A2, cysteine protease inhibitor"	7.9e-05
"Q54DE4"	"DDB_G0292312"	"fbxD"	"F-box-containing protein FbxD"	8.1e-05
"Q8IS15"	"DDB_G0277915"	"gefI"	"Ras guanine nucleotide exchange factor"	8.1e-05
"Q54EN4"	"DDB_G0291434"	"pdi2"	"protein disulfide isomerase"	8.3e-05
"Q23892"	"DDB_G0292810"	"gluA"	"beta glucosidase"	8.6e-05
"Q54N49"	"DDB_G0285505"	"ino1"	"inositol-3-phosphate synthase, myo-inositol-1-phosphate synthase"	8.6e-05
"Q54YZ3"	"DDB_G0277993"	"DDB_G0277993"	"putative importin subunit alpha C"	8.6e-05
"Q9GYD9"	"DDB_G0283083"	"cbpD2"	"calcium-binding protein"	8.8e-05
"Q54M75"	"DDB_G0286141"	"DDB_G0286141"	""	8.9e-05
"Q54GD0"	"DDB_G0290233"	"mgp1"	"RhoGAP domain-containing protein, Cdc15/Fes/CIP4 domain-containing protein, PCH family protein"	9.1e-05
"Q54HZ2"	"DDB_G0289127"	"DDB_G0289127"	"short-chain dehydrogenase/reductase (SDR) family protein, glucose/ribitol dehydrogenase family protein"	9.1e-05
"Q55C57"	"DDB_G0270218"	"glkA"	"putative serine/threonine-protein kinase GlkA"	9.4e-05
"P34090"	"DDB_G0275007"	"cmfA"	"conditioned medium factor, density sensing factor"	1e-04
"Q54ND0"	"DDB_G0285345"	"DDB_G0285345"	"unknown"	1e-04
"Q54BQ8"	"DDB_G0293492"	"lyEh2"	"Entamoeba-type lysozyme protein 2"	0.00011
"Q54FM1"	"DDB_G0290765"	"jcdA"	"transcription factor jumonji, jmjC domain-containing protein, Kame"	0.00011
"Q54H57"	"DDB_G0289693"	"DDB_G0289693"	"unknown"	0.00011
"Q54IJ6"	"DDB_G0288711"	"tgrM1"	"IPT/TIG domain-containing protein, immunoglobulin E-set domain-containing protein"	0.00011
"Q54LN9"	"DDB_G0286525"	"acmsd"	"aminocarboxymuconate-semialdehyde decarboxylase"	0.00011
"Q54NU7"	"DDB_G0284979"	"DDB_G0284979"	"unknown"	0.00011
"Q54SU8"	"DDB_G0282209"	"DDB_G0282209"	"type A von Willebrand factor (VWFA) domain-containing protein"	0.00011
"Q54WL9"	"DDB_G0279557"	"DDB_G0279557"	"PUF domain-containing protein, pumilio RNA-binding region-containing protein"	0.00011
"Q550E3"	"DDB_G0277125"	"hspG11"	"heat shock protein Hsp20 domain-containing protein, putative alpha-crystallin-type heat shock protein"	0.00011
"Q550U9"	"DDB_G0276767"	"plbA"	"phospholipase B"	0.00011
"Q55BC4"	"DDB_G0271264"	"usp14"	"ubiquitin domain-containing protein, peptidase C19 family protein, putative ubiquitin carboxyl-terminal hydrolase (UCH)"	0.00011
"Q55DC6"	"DDB_G0269702"	"DDB_G0269702"	"unknown"	0.00011
"Q65YR8"	"DDB_G0291834"	"cpiA"	"cystatin A1, cysteine protease inhibitor"	0.00011
"Q8T869"	"DDB_G0276445"	"DDB_G0276445"	"endoplasmic reticulum chaperone Bip ortholog"	0.00011
"P42529"	"DDB_G0276759"	"cbpA"	"calcium-binding protein"	0.00012
"Q54GH3"	"DDB_G0290163"	"tom1"	"tom1 protein"	0.00012
"Q559Z3"	"DDB_G0272396"	"DDB_G0272396"	"putative transmembrane protein"	0.00012
"Q55GG8"	"DDB_G0268306"	"rpb9"	"RNA polymerase II core subunit"	0.00012
"Q95US4"	"DDB_G0279921"	"gp130"	"glycoprotein 130"	0.00012
"Q54G77"	"DDB_G0290333"	"tpp1B"	"tripeptidyl-peptidase 1B"	0.00013
"Q54N44"	"DDB_G0285515"	"ppan"	"brix domain-containing protein"	0.00013
"Q55DA4"	"DDB_G0269724"	"DDB_G0269724"	"Ubiquitin-conjugating enzyme E2 variant 1"	0.00013
"Q86IG9"	"DDB_G0272694"	"gacH"	"RhoGAP domain-containing protein"	0.00013
"P15270"	"DDB_G0277141"	"cotC"	"spore coat protein SP60"	0.00014
"P34099"	"DDB_G0283907"	"pkaC"	"cAMP-dependent protein kinase A, catalytic subunit"	0.00014
"Q54IS1"	"DDB_G0288563"	"DDB_G0288563"	""	0.00014
"Q54NR2"	"DDB_G0285023"	"alrF"	"aldo-keto reductase"	0.00014
"Q54PT9"	"DDB_G0284183"	"mrfA"	"transcription factor MrfA"	0.00014
"Q55ET3"	"DDB_G0268760"	"rabQ"	"Rab GTPase"	0.00014
"Q86AU2"	"DDB_G0274265"	"DDB_G0274265"	""	0.00014
"Q8MUF9"	"DDB_G0269200"	"cplA"	"calpain-like cysteine protease"	0.00014
"Q8MVR1"	"DDB_G0291079"	"gbpC"	"cyclic GMP-binding protein C"	0.00014
"P90532"	"DDB_G0288065"	"cdcD"	"cell division cycle protein 48"	0.00015
"Q54UI8"	"DDB_G0281055"	"DDB_G0281055"	"putative SAM dependent methyltransferase"	0.00015
"Q55D50"	"DDB_G0269790"	"gaa"	"alpha-glucosidase, alpha-glucoside hydrolase"	0.00015
"Q54JA0"	"DDB_G0288201"	"DDB_G0288201"	""	0.00016
"Q54UF5"	"DDB_G0281105"	"DDB_G0281105"	""	0.00016
"Q54X86"	"DDB_G0279133"	"syn7B"	"putative syntaxin 7, putative t-SNARE family protein"	0.00017
"Q86IJ1"	"DDB_G0272566"	"psmD14"	"26S proteasome non-ATPase regulatory subunit 14, putative multidrug resistance protein"	0.00017
"Q54BW5"	"DDB_G0293374"	"dut"	"dUTP diphosphatase"	0.00018
"Q54YE6"	"DDB_G0277835"	"cspA"	"culmination specific protein 37D"	0.00019
"Q86HD3"	"DDB_G0276411"	"mrt4"	"ribosomal protein L10 family protein, mRNA turnover protein 4"	0.00019
"Q54HH9"	"DDB_G0289451"	"tmem167"	"TMEM167 family protein"	2e-04
"Q54M91"	"DDB_G0286131"	"sec63"	"protein transport protein SEC63"	2e-04
"Q54YA6"	"DDB_G0278333"	"DDB_G0278333"	"Protease 4"	2e-04
"Q86HT1"	"DDB_G0274441"	"psiL"	"PA14 domain-containing protein"	2e-04
"Q86KX9"	"DDB_G0272342"	"DDB_G0272342"	"heat shock protein DnaJ family protein"	2e-04
"P03967"	"DDB_G0292996"	"rasD"	"Ras GTPase RasD"	0.00021
"Q54KD0"	"DDB_G0287407"	"DDB_G0287407"	"TPR repeat-containing protein"	0.00021
"P34114"	"DDB_G0291123"	"glpD"	"glycogen phosphorylase 2"	0.00022
"Q54GD3"	"DDB_G0290227"	"npl4"	"nuclear protein localization 4"	0.00022
"Q54WI8"	"DDB_G0279633"	"psmD7"	"26S proteasome non-ATPase regulatory subunit 7, 26S proteasome regulatory subunit S12, Mov34 domain-containing protein"	0.00022
"Q556T3"	"DDB_G0273107"	"fip-1"	"filament-interacting protein"	0.00022
"Q6IMN8"	"DDB_G0293850"	"alrA"	"aldehyde reductase, aldo-keto reductase"	0.00022
"Q1ZXD3"	"DDB_G0288621"	"psmD3"	"26S proteasome regulatory subunit S3, 26S proteasome non-ATPase regulatory subunit 3"	0.00023
"P34124"	"DDB_G0292382"	"psmC5"	"26S proteasome subunit ATPase 5, 26S protease regulatory subunit 8, HIV TAT binding-protein-related"	0.00024
"Q54CB2"	"DDB_G0293076"	"xpo6"	"exportin 6"	0.00024
"Q54GS2"	"DDB_G0289941"	"DDB_G0289941"	"Nucleolar protein 12"	0.00024
"Q54K81"	"DDB_G0287505"	"talB"	"talinB"	0.00024
"Q54NP6"	"DDB_G0285111"	"snpA"	"soluble NSF attachment protein alpha isoform"	0.00024
"Q54F16"	"DDB_G0291191"	"DDB_G0291191"	"cysteine protease"	0.00025
"P11872"	"DDB_G0271666"	"prtB"	"proteosomal alpha-subunit 7-1"	0.00026
"Q54L23"	"DDB_G0286947"	"DDB_G0286947"	""	0.00026
"Q54L37"	"DDB_G0286923"	"DDB_G0286923"	"NADH:flavin oxidoreductase/NADH oxidase domain-containing protein"	0.00026
"Q54XL5"	"DDB_G0278865"	"DDB_G0278865"	""	0.00026
"P54671"	"DDB_G0285319"	"H1"	"histone H1, calmodulin-binding protein, transcriptional repressor"	0.00027
"Q54RM1"	"DDB_G0283035"	"osbG"	"oxysterol binding family protein, member 7"	0.00027
"Q54UB5"	"DDB_G0281315"	"psmD11"	"26S proteasome non-ATPase regulatory subunit 11, 26S proteasome regulatory subunit S9"	0.00027
"Q553X7"	"DDB_G0275295"	"galE"	"UDP-glucose 4-epimerase"	0.00027
"Q54ZF4"	"DDB_G0277595"	"DDB_G0277595"	"unknown"	0.00028
"Q54YA4"	"DDB_G0278337"	"DDB_G0278337"	"unknown"	0.00029
"Q54YR4"	"DDB_G0278117"	"sec61b"	"protein transport protein SEC61 beta subunit"	3e-04
"Q54LB8"	"DDB_G0286725"	"vps13A"	"vacuolar protein sorting-associated protein 13 family protein"	0.00031
"Q54CE4"	"DDB_G0293030"	"mileS"	"isoleucyl-tRNA synthetase, isoleucine-tRNA ligase, isoleucyl-tRNA synthetase, mitochondrial, isoleucine-tRNA ligase, mitochondrial"	0.00032
"Q54EJ3"	"DDB_G0291486"	"DDB_G0291486"	"RNA-binding region RNP-1 domain-containing protein, RNA recognition motif-containing protein RRM, putative splicing regulator"	0.00032
"Q86IB4"	"DDB_G0275519"	"DDB_G0275519"	""	0.00032
"P13723"	"DDB_G0287033"	"nagA"	"beta-N-acetylhexosaminidase"	0.00033
"Q54G18"	"DDB_G0290439"	"gacW"	"leucine-rich repeat-containing protein (LRR), RhoGAP domain-containing protein"	0.00033
"Q55EG0"	"DDB_G0268916"	"DDB_G0268916"	""	0.00033
"Q55F79"	"DDB_G0268220"	"DDB_G0268220"	"leucine-rich repeat-containing protein"	0.00033
"Q8T6B7"	"DDB_G0284047"	"abcF2"	"ABC transporter-related protein"	0.00033
"Q54HC6"	"DDB_G0289555"	"arkA"	"ankyrin repeat-containing protein, PKC domain-containing protein, PE/DAG binding, GRAM domain-containing protein, protein kinase, TKL group, tyrosine kinase-like protein, ARK family protein kinase"	0.00034
"Q54I98"	"DDB_G0288907"	"smtA"	"putative delta-24-sterol methyltransferase Smt1"	0.00034
"Q9NCL7"	"DDB_G0274579"	"pitB"	"phosphatidylinositol transfer protein 2"	0.00034
"Q54LG3"	"DDB_G0286651"	"aplB"	"amoebapore-like protein B"	0.00035
"Q55E63"	"DDB_G0269376"	"DDB_G0269376"	""	0.00035
"Q55G75"	"DDB_G0267786"	"DDB_G0267786"	"pleckstrin homology (PH) domain-containing protein"	0.00036
"Q556D4"	"DDB_G0274757"	"DDB_G0274757"	""	0.00037
"Q55ET2"	"DDB_G0268762"	"DDB_G0268762"	"Coiled-coil domain-containing protein 86"	0.00038
"Q55FN4"	"DDB_G0268026"	"DDB_G0268026"	"transmembrane protein"	0.00038
"P13466"	"DDB_G0269100"	"abpC"	"actin binding protein C"	0.00039
"P34120"	"DDB_G0272831"	"psmA7"	"proteasome subunit alpha type 7, 20S proteasome subunit alpha-7"	0.00039
"Q54FZ2"	"DDB_G0290523"	"DDB_G0290523"	"putative transmembrane protein"	0.00039
"Q86L22"	"DDB_G0277079"	"cyb5B"	"cytochrome b5 B"	0.00039
"Q86ID4"	"DDB_G0275487"	"DDB_G0275487"	""	4e-04
"P14328"	"DDB_G0276941"	"cotA"	"spore coat protein sp96"	0.00041
"Q55C89"	"DDB_G0270164"	"DDB_G0270164"	""	0.00041
"Q55BF2"	"DDB_G0271306"	"nmd3"	"60S ribosomal export protein"	0.00042
"P34046"	"DDB_G0284469"	"gpaH"	"G-protein subunit alpha 8"	0.00045
"Q1ZXG6"	"DDB_G0282183"	"cyp513A1"	"cytochrome P450 family protein"	0.00045
"Q54K57"	"DDB_G0287657"	"tpsA"	"glycosyltransferase, alpha,alpha-trehalose-phosphate synthase, trehalose 6-phosphate synthase, trehalose-phosphatase"	0.00045
"Q55CF6"	"DDB_G0270074"	"DDB_G0270074"	"putative endoglycoceramidase"	0.00045
"Q54QZ5"	"DDB_G0283473"	"treh"	"alpha,alpha-trehalase"	0.00046
"P05817"	"DDB_G0275695"	"ampA"	"adhesion modulation protein A"	0.00047
"Q54E49"	"DDB_G0291804"	"ddx6"	"putative RNA helicase, DEAD/DEAH box helicase"	0.00047
"Q54GZ7"	"DDB_G0289849"	"DDB_G0289849"	""	0.00047
"Q54JV0"	"DDB_G0287859"	"DDB_G0287859"	"Zinc finger, N-recognin domain-containing protein"	0.00047
"Q54NX0"	"DDB_G0284945"	"fsjC"	"rRNA methyltransferase, putative rRNA (uridine-2'-O-)-methyltransferase"	0.00047
"Q54PI2"	"DDB_G0284529"	"DDB_G0284529"	""	0.00047
"Q75JT6"	"DDB_G0272440"	"DDB_G0272440"	"putative quinone oxidoreductase, alcohol dehydrogenase"	0.00047
"Q54C46"	"DDB_G0293248"	"grpA"	"golgi reassembly stacking protein"	0.00048
"Q54NJ3"	"DDB_G0285215"	"DDB_G0285215"	"unknown"	0.00048
"Q54VB5"	"DDB_G0280471"	"DDB_G0280471"	""	0.00048
"Q55EU0"	"DDB_G0268754"	"DDB_G0268754"	"glycoside hydrolase family 47 protein, mannosyl-oligosaccharide 1,2-alpha-mannosidase"	0.00048
"Q54CU4"	"DDB_G0292696"	"colA"	"colossin A"	0.00049
"P54682"	"DDB_G0284613"	"D7"	""	5e-04
"Q54PS7"	"DDB_G0284449"	"plbD"	"phospholipase B-like protein"	5e-04
"P90648"	"DDB_G0289115"	"mhkB"	"myosin heavy chain kinase B"	0.00051
"Q54JB0"	"DDB_G0288187"	"ddi1"	"ubiquitin-associated (UBA) domain-containing protein"	0.00051
"Q54YF8"	"DDB_G0278257"	"DDB_G0278257"	"BRO1 domain-containing protein"	0.00051
"Q55CU8"	"DDB_G0269182"	"pitC"	"phosphatidylinositol transfer protein 3"	0.00051
"P42527"	"DDB_G0291231"	"mhkA"	"myosin heavy chain kinase A"	0.00052
"Q54CU2"	"DDB_G0292698"	"DDB_G0292698"	"RNA-binding region RNP-1 domain-containing protein, RNA recognition motif-containing protein RRM"	0.00052
"Q55CL5"	"DDB_G0270006"	"jcdI"	"transcription factor jumonji, jmjC domain-containing protein"	0.00052
"Q75J96"	"DDB_G0271734"	"rapgap1"	"RapGAP/RanGAP domain-containing protein"	0.00052
"Q86HV4"	"DDB_G0276427"	"osbF"	"oxysterol binding family protein, member 6"	0.00052
"P54678"	"DDB_G0277861"	"patA"	"P-type ATPase, Ca2+-ATPase"	0.00053
"Q550I1"	"DDB_G0277097"	"uduF"	"unknown"	0.00053
"Q86HB8"	"DDB_G0276475"	"cfaC"	"counting factor associated protein"	0.00053
"Q8WQ85"	"DDB_G0288557"	"vilA"	"villidin"	0.00053
"Q9XYS3"	"DDB_G0289653"	"noxA"	"superoxide-generating NADPH oxidase flavocytochrome A"	0.00053
"Q8T6J5"	"DDB_G0267438"	"abcA2"	"ABC transporter A family protein"	0.00054
"Q54P92"	"DDB_G0284699"	"mtr"	"cobalamin-dependent methionine synthase, methionine synthase, 5-methyltetrahydrofolate:L-homocysteine S-methyltransferase, dihydropteroate synthase"	0.00055
"Q54YK2"	"DDB_G0278629"	"DDB_G0278629"	""	0.00056
